unique_id,citation_class_label
CCT1,5
CCT2,0
CCT3,5
CCT4,0
CCT5,5
CCT6,5
CCT7,5
CCT8,5
CCT9,0
CCT10,5
CCT11,4
CCT12,5
CCT13,5
CCT14,5
CCT15,5
CCT16,0
CCT17,0
CCT18,0
CCT19,0
CCT20,0
CCT21,0
CCT22,0
CCT23,0
CCT24,0
CCT25,0
CCT26,0
CCT27,0
CCT28,0
CCT29,0
CCT30,0
CCT31,0
CCT32,0
CCT33,0
CCT34,0
CCT35,0
CCT36,0
CCT37,0
CCT38,0
CCT39,0
CCT40,5
CCT41,0
CCT42,0
CCT43,0
CCT44,0
CCT45,0
CCT46,0
CCT47,0
CCT48,0
CCT49,0
CCT50,0
CCT51,0
CCT52,0
CCT53,0
CCT54,1
CCT55,0
CCT56,0
CCT57,0
CCT58,0
CCT59,5
CCT60,0
CCT61,0
CCT62,0
CCT63,0
CCT64,1
CCT65,0
CCT66,0
CCT67,5
CCT68,0
CCT69,1
CCT70,0
CCT71,0
CCT72,0
CCT73,0
CCT74,0
CCT75,0
CCT76,0
CCT77,5
CCT78,5
CCT79,0
CCT80,0
CCT81,0
CCT82,5
CCT83,0
CCT84,5
CCT85,0
CCT86,0
CCT87,0
CCT88,0
CCT89,4
CCT90,0
CCT91,0
CCT92,0
CCT93,2
CCT94,5
CCT95,0
CCT96,0
CCT97,0
CCT98,0
CCT99,0
CCT100,0
CCT101,0
CCT102,0
CCT103,1
CCT104,0
CCT105,0
CCT106,0
CCT107,4
CCT108,0
CCT109,0
CCT110,0
CCT111,0
CCT112,0
CCT113,0
CCT114,0
CCT115,0
CCT116,0
CCT117,0
CCT118,0
CCT119,0
CCT120,0
CCT121,0
CCT122,0
CCT123,0
CCT124,0
CCT125,0
CCT126,2
CCT127,0
CCT128,0
CCT129,1
CCT130,0
CCT131,0
CCT132,0
CCT133,1
CCT134,1
CCT135,0
CCT136,0
CCT137,0
CCT138,0
CCT139,0
CCT140,0
CCT141,0
CCT142,5
CCT143,0
CCT144,0
CCT145,0
CCT146,0
CCT147,0
CCT148,0
CCT149,0
CCT150,0
CCT151,1
CCT152,0
CCT153,0
CCT154,5
CCT155,5
CCT156,0
CCT157,0
CCT158,5
CCT159,0
CCT160,5
CCT161,5
CCT162,5
CCT163,0
CCT164,5
CCT165,0
CCT166,0
CCT167,1
CCT168,0
CCT169,0
CCT170,5
CCT171,0
CCT172,0
CCT173,1
CCT174,0
CCT175,0
CCT176,0
CCT177,0
CCT178,0
CCT179,0
CCT180,0
CCT181,0
CCT182,0
CCT183,0
CCT184,0
CCT185,0
CCT186,0
CCT187,4
CCT188,5
CCT189,0
CCT190,0
CCT191,0
CCT192,0
CCT193,0
CCT194,0
CCT195,4
CCT196,0
CCT197,1
CCT198,1
CCT199,1
CCT200,1
CCT201,1
CCT202,1
CCT203,0
CCT204,5
CCT205,4
CCT206,1
CCT207,0
CCT208,0
CCT209,1
CCT210,5
CCT211,0
CCT212,1
CCT213,0
CCT214,0
CCT215,0
CCT216,0
CCT217,0
CCT218,0
CCT219,0
CCT220,0
CCT221,0
CCT222,0
CCT223,0
CCT224,0
CCT225,0
CCT226,0
CCT227,0
CCT228,0
CCT229,0
CCT230,0
CCT231,0
CCT232,1
CCT233,1
CCT234,0
CCT235,1
CCT236,1
CCT237,0
CCT238,0
CCT239,0
CCT240,0
CCT241,0
CCT242,0
CCT243,0
CCT244,0
CCT245,0
CCT246,5
CCT247,0
CCT248,5
CCT249,0
CCT250,0
CCT251,0
CCT252,0
CCT253,0
CCT254,0
CCT255,0
CCT256,0
CCT257,0
CCT258,0
CCT259,0
CCT260,0
CCT261,0
CCT262,0
CCT263,0
CCT264,0
CCT265,0
CCT266,0
CCT267,5
CCT268,0
CCT269,0
CCT270,0
CCT271,0
CCT272,0
CCT273,0
CCT274,0
CCT275,0
CCT276,0
CCT277,0
CCT278,0
CCT279,0
CCT280,0
CCT281,0
CCT282,4
CCT283,0
CCT284,0
CCT285,0
CCT286,0
CCT287,0
CCT288,0
CCT289,0
CCT290,0
CCT291,0
CCT292,0
CCT293,1
CCT294,0
CCT295,0
CCT296,0
CCT297,0
CCT298,0
CCT299,0
CCT300,0
CCT301,0
CCT302,0
CCT303,5
CCT304,0
CCT305,0
CCT306,0
CCT307,0
CCT308,0
CCT309,0
CCT310,0
CCT311,1
CCT312,0
CCT313,0
CCT314,0
CCT315,0
CCT316,0
CCT317,0
CCT318,0
CCT319,0
CCT320,0
CCT321,5
CCT322,5
CCT323,5
CCT324,0
CCT325,5
CCT326,5
CCT327,5
CCT328,5
CCT329,0
CCT330,5
CCT331,0
CCT332,5
CCT333,0
CCT334,0
CCT335,5
CCT336,1
CCT337,0
CCT338,0
CCT339,0
CCT340,0
CCT341,1
CCT342,0
CCT343,0
CCT344,1
CCT345,1
CCT346,1
CCT347,0
CCT348,0
CCT349,0
CCT350,0
CCT351,0
CCT352,0
CCT353,1
CCT354,0
CCT355,0
CCT356,0
CCT357,0
CCT358,0
CCT359,5
CCT360,0
CCT361,0
CCT362,0
CCT363,5
CCT364,5
CCT365,5
CCT366,0
CCT367,0
CCT368,0
CCT369,0
CCT370,0
CCT371,0
CCT372,5
CCT373,0
CCT374,0
CCT375,0
CCT376,3
CCT377,0
CCT378,0
CCT379,0
CCT380,0
CCT381,0
CCT382,0
CCT383,0
CCT384,0
CCT385,0
CCT386,0
CCT387,0
CCT388,0
CCT389,4
CCT390,5
CCT391,0
CCT392,0
CCT393,0
CCT394,0
CCT395,0
CCT396,0
CCT397,0
CCT398,0
CCT399,0
CCT400,0
CCT401,0
CCT402,0
CCT403,0
CCT404,0
CCT405,5
CCT406,0
CCT407,0
CCT408,0
CCT409,0
CCT410,0
CCT411,0
CCT412,0
CCT413,0
CCT414,0
CCT415,0
CCT416,0
CCT417,0
CCT418,0
CCT419,0
CCT420,5
CCT421,0
CCT422,5
CCT423,0
CCT424,4
CCT425,0
CCT426,1
CCT427,0
CCT428,0
CCT429,0
CCT430,0
CCT431,0
CCT432,0
CCT433,0
CCT434,0
CCT435,1
CCT436,0
CCT437,0
CCT438,0
CCT439,0
CCT440,0
CCT441,0
CCT442,0
CCT443,0
CCT444,0
CCT445,5
CCT446,0
CCT447,0
